 	Area	Mean	Min	Max	X	Y
1	0	26	26	26	12.933	1.840
2	0	91	91	91	20.507	5.067
3	0	76	76	76	20.587	11.387
4	0	100	100	100	20.827	13.440
5	0	85	85	85	15.093	10.747
6	0	64	64	64	14.827	10.880
7	0	19	19	19	12.613	8.480
8	0	96	96	96	8.587	8.747
9	0	29	29	29	9.840	9.120
10	0	100	100	100	10.267	9.653
11	0	48	48	48	10.397	10.090
12	0	50	50	50	10.943	9.690
13	0	63	63	63	11.957	9.783
14	0	34	34	34	11.157	10.370
15	0	56	56	56	11.623	10.357
16	0	24	24	24	11.583	10.610
17	0	14	14	14	11.730	10.783
18	0	60	60	60	11.877	10.570
19	0	36	36	36	12.157	10.823
20	0	41	41	41	9.423	12.570
