 	Area	Mean	Min	Max	X	Y
1	0.000	26	26	26	39.018	393.430
2	0.000	67	67	67	328.400	686.064
3	0.000	22	22	22	1031.535	486.098
4	0.000	109	109	109	1712.722	149.568
5	0.000	69	69	69	1878.548	250.365
6	0.000	51	51	51	2372.774	390.179
7	0.000	85	85	85	1303.034	926.674
8	0.000	36	36	36	750.281	1326.607
9	0.000	113	113	113	769.790	1346.116
10	0.000	83	83	83	1055.921	1817.582
11	0.000	28	28	28	1725.728	1427.403
12	0.000	121	121	121	2050.876	1638.750
13	0.000	14	14	14	2262.223	1541.206
14	0.000	164	164	164	2756.449	1407.895
